Item 1,Item 2,Frequência (%)
RESFRIADO COMUM,J00,18.0
TOSSE,R05,10.0
GECA,A09,10.0
R10,DOR ABDOMINAL,6.0
DIARREIA,A09,4.0
ORIENTAÇÃO GERAIS,Z76,3.0
N39.0,ITU,3.0
R51,CEFALEIA,2.0
INFECÇÃO URINARIA,N39.0,2.0
M75,LESÕES NO OMBRO,2.0
DOR MUSCULAR,M79.1,2.0
R55,SINCOPE,1.0
Z03,REAVALIAÇÃO( QUEIMADURA 1 GRAU),1.0
Z03.,REAVALIAÇÃO( RESFRIADO COMUN),1.0
H83,OUTROS TRANSTORNO DO OUVIDO INTERNO,1.0
R73,HIPERGLICEMIA,1.0
IMPETIGO,L01,1.0
K08.80,ODONTALGIA,1.0
RESFRIADO COMUN,J00,1.0
Z03,REAVALIAÇÃO( GECA),1.0
H61,OUTROS TRANSTORNO DO OUVIDO EXTERNO,1.0
LOMBALGIA,M54.5,1.0
MIALGIA,M79.1,1.0
VAGINOSE,N76.1,1.0
T301,QUEIMADURA 1 GRAU,1.0
OTITE,H65,1.0
GESTANTE,Z34,1.0
GRIPE,J11,1.0
Z32,GRAVIDEZ?,1.0
REAVALIADO ( GECA),A09,1.0
Z01.3,AFERIÇÃO DE PRESSAO ARTERIAL,1.0
FARINGAMIGDALITE,B002,1.0
CANDIDIASI,B37,1.0
BURSITE,M75.5,1.0
CONJUTUVITE,H10,1.0
K59,CONSTIPAÇÃO,1.0
CURATIVO,Z480,1.0
DESIDRATAÇÃO,E86,1.0
M62.6,DISTENÇAO MUSCULAR,1.0
K08.80,DOR DE DENTE,1.0
M54.5,DOR LOMBAR,1.0
DOR NA COLUNA,M54.6,1.0
EMESE,R11,1.0
F509,TRANSTORNO DE ALIMENTAÇAÕ NAO ESPERFICICA,1.0
R50.9,FEBRE,1.0
R53,FRAQUEZA,1.0
L02,FURUNCULO,1.0
GASTRITE,K29,1.0
SUTURA,Z480,1.0
