Item 1,Item 2,Frequência (%)
TOSSE,RESFRIADO COMUM,11.0
GECA,VOMITO,5.0
DIARREIA,GECA,5.0
TOSSE,FEBRE,4.0
DIARREIA,VOMITO,3.0
DOR BV,ITU,3.0
RESFRIADO COMUM,CONGESTAO NASAL,2.0
NARIZ CONGESTIONADO,RESFRIADO COMUM,2.0
NARIZ CONGESTIONADO,TOSSE,2.0
CORIZA,TOSSE,2.0
ORIENTADA SOBRE ALIMENTAÇÃO E EXERCICIOS FISICOS PELA MANHÃ,ORIENTAÇÃO GERAIS,2.0
RESFRIADO COMUM,FEBRE,2.0
FEBRE E VOMITO,DIARREIA,2.0
ARDOR AO URINAR,ITU,2.0
TOSSE. FEBRE,RESFRIADO COMUM,2.0
TOSSE,TOSSE COM CORIZA,2.0
FEBRE E VOMITO,GECA,2.0
TOSSE,CONGESTAO NASAL,2.0
DOR BV,ARDOR AO URINAR,2.0
RESFRIADO COMUN,FEBRE,1.0
NARIZ CONGESTIONADO,FEBRE,1.0
FEBRE,GECA,1.0
FEBRE,VOMITO,1.0
TOSSE,FEBRE - AP RONCO PULMONAR,1.0
TOSSE,FEBRE E TOSSE - AP- SEM ALTERAÇÃO,1.0
FDIARREIA,GECA,1.0
FEBRE,FDIARREIA,1.0
FRAQUEZA,FRAQUEZA MUSCULAR,1.0
FARINGAMIGDALITE,PLACA DE PUS,1.0
FDIARREIA,VOMITO,1.0
SEM ALTERAÇÃO,AFERIÇÃO DE PRESSAO ARTERIAL,1.0
FARINGAMIGDALITE,INCHADO,1.0
PRESENÇA TUMEFAÇÃO NA REGIÃO POSTERIOR DOR JOELHO ESQUERDO,FRAQUEZA,1.0
LOMBALGIA,DOR NA COLUNA LOMBAR,1.0
TOSSE,DOR NA GARGANTA 3 DIAS,1.0
HIPEREMIA. FARINGE,DOR NA GARGANTA. AP SEM ALTERAÇÕES,1.0
DOR NA GARGANTA. AP SEM ALTERAÇÕES,SEM FEBRE,1.0
TOSSE,DOR NA GARGANTA. AP SEM ALTERAÇÕES,1.0
TOSSE SECA 4 DIAS,DOR NA GARGANTA. AP SEM ALTERAÇÕES,1.0
INFECÇÃO URINARIA,DOR NA REGIÃO HIPOGASTRICA,1.0
DOR NA REGIÃO HIPOGASTRICA,QUE PIORA NA MENSTRUAÇÃO,1.0
OTITE,DOR NO OUVIDO COM SECREÇÃO,1.0
OUTROS TRANSTORNO DO OUVIDO EXTERNO,DOR NO OUVIDO ESQUERDO,1.0
DPR NO OMBRO ESQUERDO,LESÕES NO OMBRO,1.0
EMESE,VOMITO,1.0
ENJOO,GRAVIDEZ?,1.0
EVACUAÇÃO 4X,GECA,1.0
EVACUAÇÃO 4X,SEM FEBRE,1.0
EVACUAÇÃO 4X,VOMITO,1.0
SEM FEBRE,GECA,1.0
USCULAR,FRAQUEZA,1.0
RESFRIADO COMUM,TOSSE SECA,1.0
PUS,VERMELHIDÃO,1.0
QUEIMADURA 1 GRAU,SUPERFICIAL,1.0
REAVALIADO ( GECA),VOMITO,1.0
REAVALIAÇÃO( GECA),VOMITO,1.0
REAVALIAÇÃO( QUEIMADURA 1 GRAU),SUPERFICIAL,1.0
RESFRIADO COMUM,TOSSE PRODUTIVA,1.0
RESFRIADO COMUN,TOSSE,1.0
ODOR FEDIDO,VAGINOSE,1.0
SECREÇAÕ AMRELADA,VAGINOSE,1.0
SEM APETITE,TRANSTORNO DE ALIMENTAÇAÕ NAO ESPERFICICA,1.0
TOSSE,SEM FEBRE,1.0
TOSSE SECA 4 DIAS,SEM FEBRE,1.0
SEM FEBRE,VOMITO,1.0
TOSSE,TOSSE PRODUTIVA AP - SEM ALTERAÇÕES,1.0
RETIRADA PARA REALIZAR CONSULTA. FOI REALIZADA CONVERSA COM PACIENTE E FAMILIARES SOBRE A QUESTÃO SE PACIENTE ACEITA RETIRADA DA ALDEIA COM DOIS ACOMPANHANTES,ORIENTAÇÃO GERAIS,1.0
ODOR FEDIDO,SECREÇAÕ AMRELADA,1.0
PRESENÇA TUMEFAÇÃO NA REGIÃO POSTERIOR DOR JOELHO ESQUERDO,FRAQUEZA MUSCULAR,1.0
HIPERGLICEMIA,GLICEMIA 418MG/DL,1.0
PUS,FURUNCULO,1.0
FURUNCULO,VERMELHIDÃO,1.0
GASTRITE,QUEIMAÇAÕ,1.0
PUS,DOR LOCAL,1.0
VOMITO DIARREIA,GECA,1.0
GESTANTE,IG: 39S 0D/ AU: 38CM/ BCF: 140/  PA: 130X90/ SEM QUEIXA,1.0
HIPEREMIA. FARINGE,SEM FEBRE,1.0
SECREÇÃO ( LEITE CUADA),ODOR,1.0
HIPEREMIA. FARINGE,TOSSE,1.0
HIPEREMIA. FARINGE,TOSSE SECA 4 DIAS,1.0
OUTROS TRANSTORNO DO OUVIDO INTERNO,HISTORICO DE SANGRAMENTO AURICULAR,1.0
INCHADO,PLACA DE PUS,1.0
PUNHO PERCURSAO NEGATIVA,ITU,1.0
